GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos,com.increff.pos.dao,BrandDao,48,0,0,0,13,0,8,0,8,0
pos,com.increff.pos,App,7,0,0,0,3,0,2,0,2,0
pos,com.increff.pos.service,ApiException,4,0,0,0,2,0,1,0,1,0
pos,com.increff.pos.service,BrandService,78,0,2,0,22,0,9,0,8,0
pos,com.increff.pos.model,BrandForm,17,0,0,0,7,0,5,0,5,0
pos,com.increff.pos.model,BrandData,10,0,0,0,4,0,3,0,3,0
pos,com.increff.pos.controller,BrandController,95,0,2,0,26,0,9,0,8,0
pos,com.increff.pos.pojo,BrandPojo,24,0,0,0,10,0,7,0,7,0
pos,com.increff.pos.spring,ControllerConfig,116,0,0,0,27,0,8,0,8,0
pos,com.increff.pos.spring,DBConfig,108,0,0,0,28,0,4,0,4,0
pos,com.increff.pos.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
pos,com.increff.pos.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
